county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1059,2,2387,0.1295425395,0.2062084257,0.1185588605,0.02261640798,693.9504432,374.3711772
1059,3,2372,0.1330069359,0.2166462668,0.1187270502,0.03161888702,669.0615514,372.8510812
1059,4,2387,0.1321077383,0.2107247591,0.1073068894,0.04021784667,634.4754168,380.7742625
1059,5,2490,0.1948514851,0.09953994145,0.02634880803,0.02383939774,789.8899958,166.8790407
1059,6,2414,0.2328086164,0.09900990099,0.03326732673,0.02415841584,882.9066955,154.3948515
1061,0,2279,0.1613339342,0.1608465608,0.09237113402,0.04686795854,723.8149451,275.2366843
1061,1,2306,0.1581435324,0.2020815265,0.1142525174,0.03902862099,692.8404159,320.7408681
1061,2,2268,0.1538800705,0.2015260323,0.1168430335,0.03007181329,706.6856261,335.2561728
1061,3,2275,0.1537478705,0.196043956,0.1125274725,0.03912087912,707.9778535,317.4482759
1061,4,2288,0.1339590444,0.1953924915,0.1002559727,0.06102635229,649.1514505,337.0450175
1061,5,2427,0.1973629996,0.09958847737,0.03004115226,0.02883355177,772.4290083,144.0749897
1061,6,2349,0.2396193772,0.09443990188,0.0241210139,0.03107113655,877.9466192,142.3550447
1063,0,432,0.2312373225,0.1277890467,0.07619047619,0.04861111111,510.4560185,192.3042596
1063,1,434,0.2016129032,0.1258907363,0.09216589862,0.03800475059,452.3101737,229.0915332
1063,2,416,0.160944206,0.1346153846,0.08653846154,0.03862660944,492.6723044,245.9754902
1063,3,435,0.1731601732,0.1479591837,0.09307359307,0.03862660944,443.72103,236.8091787
1063,4,445,0.1775280899,0.1223021583,0.08893709328,0.03836930456,378.8752998,262.262069
1063,5,470,0.265060241,0.06595744681,0.0281124498,0.02721088435,537.1827309,125.3574297
1063,6,477,0.2662473795,0.09274193548,0.04612159329,0.03225806452,595.6512097,102.2033543
1065,0,1130,0.1663716814,0.1636363636,0.1105769231,0.04196428571,650.3300885,299.6842949
1065,1,1136,0.1504986401,0.1774491682,0.138712602,0.03445149592,621.4063302,313.5765612
1065,2,1112,0.1504672897,0.1861510791,0.1242990654,0.03364485981,626.2239209,340.4226244
1065,3,1137,0.1514869888,0.1838170624,0.1271043771,0.03605980651,622.2920875,324.3543771
1065,4,1142,0.1395547945,0.1774340309,0.1170506912,0.05004549591,566.6046083,333.7338004
1065,5,1171,0.2045646661,0.08966695132,0.02670856245,0.02951699463,680.5889571,168.4860524
1065,6,1152,0.251414713,0.08569118836,0.03168155971,0.02748585287,802.5925627,132.283101
1067,0,1460,0.1755617978,0.1736425339,0.09923664122,0.03787878788,698.7682584,271.7873303
1067,1,1498,0.1721854305,0.219205298,0.1413427562,0.0445229682,684.2290935,345.2192053
1067,2,1466,0.1568894952,0.2052704577,0.1296043656,0.03259361997,690.1563845,366.8444748
